subfolder,image_name,image_path,status,instrument_pixels,needle_pixels,area_ratio,corrected_area,,,,,,,,
7-14_tree123_2838_initial,20250714_131057.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_131057.jpg,success,1164,5878,0.834706049,5.008236297,,,,,,,,
7-14_tree123_2838_initial,20250714_131553.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_131553.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_131616.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_131616.jpg,success,1126,6193,0.846153846,5.076923077,,,,,,,,
7-14_tree123_2838_initial,20250714_132109.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_132109.jpg,success,966,5389,0.847993706,5.087962234,,,,,,,,
7-14_tree123_2838_initial,20250714_132334.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_132334.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_151645.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_151645.jpg,success,1310,6743,0.837327704,5.023966224,,,,,,,,
7-14_tree123_2838_initial,20250714_151909.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_151909.jpg,success,1302,6274,0.828141499,4.968848997,,,,,,,,
7-14_tree123_2838_initial,20250714_155948.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_155948.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_160023.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_160023.jpg,success,1576,9284,0.854880295,5.129281768,,,,,,,,
7-14_tree123_2838_initial,20250714_160718.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_160718.jpg,success,1171,4568,0.795957484,4.775744903,,,,,,,,
7-14_tree123_2838_initial,20250714_162312.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_162312.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_162331.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_162331.jpg,success,1388,7390,0.841877421,5.051264525,,,,,,,,
7-14_tree123_2838_initial,20250714_164710.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_164710.jpg,success,1280,7256,0.85004686,5.100281162,,,,,,,,
